,Year,Song,Artist
4460,2002.0,Clown,Mariah Carey
4461,2005.0,All I Can Do,Kane
4462,,Privilege of Evil (From the Privilege of Evil EP),Amorphis
4463,1981.0,Women,The Plimsouls
4464,1977.0,Jah Jah Children,Sugar Minott
4465,2005.0,Mailbox Arson,Alexisonfire
4466,,Lost Again,Bob Margolin
4467,,Your Recipe,Aswad
4468,2006.0,One Person At A Time,Jonny Lang
4469,,Break That Ice,Extrabreit
4470,2004.0,Take My Hand,Ben Harper And The Blind Boys Of Alabama
4471,,Siks oon mä suruinen,Erkki Junkkarinen
4472,,Vous Qui Passez Sans Me Voir,Line Renaud
4473,,Te Deum Laudamus_ BuxWV 218 : II Te Martyrum Candidatus (Remasterisé En 2010),Lionel Rogg
4474,,Highest State of Consciousness,Sabda Brahma
4475,2008.0,Don't Take Your Spirit Away,Deitrick Haddon
4476,2001.0,We Gotta Talk,Jennifer Lopez
4477,,Todo Tiene Su Fin,Dyango
4478,2000.0,Proibida Pra Mim (Grazon),Zeca Baleiro
4479,,Amigo (Con el Coro de Infantes de la Basilica de Guadalupe),Yahir
4480,2008.0,Chime,Shapeshifters
4481,,Bag á l'ame,Cristina Pato - Mutenrohi
4482,,Livin in the Jungle,Mikey Dread
4483,,Givin' It Back,Capital Tax
4484,,Chiaroscuro,Francis Dhomont
4485,,Bodhrán Solo,Mick Moloney
4486,,Cracking Under Pressure 83,Joe Grushecky
4487,,Split Part One,Groundhogs
4488,2006.0,Affliction,AFI
4489,,Jenny Says,Cowboy Mouth
4490,1998.0,Bakwetu,Papa Wemba
4491,,Sunshine (Album Version),The Jeremy Spencer Band
4492,1988.0,Miss Elaine,RUN-DMC
4493,,A Song For You (Live),Simply Red
4494,,What You Want [feat. Total] (Album Version),Mase
4495,1989.0,You Don't Get Much,BoDeans
4496,,Decimas,Carlos Vives
4497,1994.0,Mostly Tha Voice (Explicit),Gang Starr
4498,,Leave You In The Hands,The Jackson Southernaires
4499,,Frigide,Caniche Hara-Kiri
4500,,Beams Of Heaven,Clarence Fountain
4501,,On and on,Franco
4502,2005.0,Still,Foo Fighters
4503,,informa,Elephant Man
4504,1999.0,Everyday I Have The Blues,Lightnin' Hopkins
4505,1993.0,Für mich soll's rote Rosen regnen,Extrabreit
4506,1988.0,American Dream,Vixen
4507,,S.O.S.,A-Studio
4508,1984.0,A Boy Who Can't Talk Part 2,Planet P Project
4509,,Christmas All Over Again,Tom Petty And The Heartbreakers
4510,,Planet E.,Thirst
4511,,I Want More - Part 1,Faithless
4512,2009.0,I Am Here,F.I.R.
4513,1988.0,I'm Your Witchdoctor,John Mayall & The Bluesbreakers
4514,,Out Demons Out (Live) (2004 Digital Remaster),The Edgar Broughton Band
4515,,Better To Have Lost In Love (Than Never To Have Loved),Eurythmics
4516,1991.0,Motownphilly,Boyz II Men
4517,1990.0,Tomorrow,Jay & The Americans
4518,,Tokyo,1. Futurologischer Congress
4519,1991.0,Un Pensamiento,Seguridad Social
4520,,Abused And Unloved,Malefaction
4521,,One Scotch_ One Bourbon_ One Beer,Champion Jack Dupree
4522,,Choc'late Ice Cream Cone,Red Foley
4523,1982.0,Metal Militia,Metallica
4524,,On My Mind (feat. Ben Onono) (The Drill-Re-Work Dub),Rui Da Silva
4525,,Awake II,Space Opera
4526,1994.0,Eugene's Lament,Beastie Boys
4527,,Lost In The Future (False Start -#1),The Stooges
4528,,Mihodina ny tany,Rajery
4529,2000.0,The Woman I Need (Honky Tonk Mind),Johnny Horton
4530,,Goodtime Charlie's Got The Blues,Johnny Carver
4531,1971.0,Key To The Highway,Freddie King
4532,,Balle Balle,Sukhbir
4533,2005.0,Passage To Melilla,Pyrolator
4534,2004.0,Blood Children (an Introduction) (Album Version),Atreyu
4535,,Plejersko ponasanje,Beogradski Sindikat
4536,,Never Be (Bonus Track),Bomb Squad
4537,2002.0,Natural High (Interlude),Ms. Dynamite
4538,1999.0,Hole In My Head,Dixie Chicks
4539,,Georgia,Cartel
4540,,What It Ain't,Josh Turner
4541,,Fire Alarm,Anneli Drecker
4542,1995.0,Someday Baby,Otis Spann
4543,1971.0,Get It While You Can,Janis Joplin
4544,2007.0,Spiritual Passion (aka Dubious),Dexys Midnight Runners
4545,1976.0,Simple Man,Bad Company
4546,1983.0,Other Side Of Antarctica,Vangelis
4547,2002.0,You Devil You,themselves
4548,,It Aint No Good To be Good ,Barbara Lynn
4549,,Shrine (Reissue) (Album Version),King Diamond
4550,,Message To A Friend,Pat Metheny / Charlie Haden
4551,2001.0,Too Much Stuff,Dave Brockie Experience
4552,1990.0,Let's Lock The Door (And Throw Away The Key),Jay & The Americans
4553,,Floating (Edit),Beat Pharmacy
4554,2002.0,You're My Girl (LP Version),Rhinoceros
4555,2008.0,A Devil's Ransom (Album Version),Bury Your Dead
4556,2005.0,Breathe Easy,Williamson
4557,2004.0,World On Wheels,Dilated Peoples
4558,,Erinnerung an die Meseta,Steinwolke
4559,1968.0,Stay Down Here Where You Belong,Tiny Tim
4560,,Hoop of Flame (III. Between Two Worlds),Mind Furniture
4561,,Turn Me Around,Drouz
4562,2005.0,Mahafinaritra,Rajery
4563,,Dawg Call (Acappella),12 Gauge
4564,,Try to live,Die Bandbreite
4565,2006.0,Full House,Alan Silvestri
4566,1994.0,Tic,Helmet
4567,2000.0,Zap Zap,Dynamite Deluxe
4568,,Morning Has Broken,Bill Murk
4569,1990.0,Rendezvous - Ich hab' Dich seit langem nicht gesehen,Jawoll
4570,1996.0,The Beautiful Shepherdess of Arcadia,The Baltimore Consort
4571,2002.0,Overdrive,Foo Fighters
4572,,Visitando Zabelê,Sivuca & Clã Brasil
4573,,She Made My Blood Run Cold,Rod Piazza & The Mighty Flyers
4574,1995.0,Here I Am King,Primordial
4575,1981.0,Chemistry,Michael Stanley Band
4576,,Jig: A Chailleach_ do Mharais Mé,Willie Clancy
4577,,Join The Parade (Album Version),Planet P Project
4578,,Albi Eshiha,Ragheb Alama
4579,,Si Tu Regresas,Jay Pérez
4580,1989.0,Slow Poke,Pee Wee King
4581,1961.0,A Poor Man's Roses,Patsy Cline
4582,,I Still Want Your Love (Extended Mix),Solitaire
4583,2000.0,Hell On High Heels,Mötley Crüe
4584,,You Got Soul Loop (104bpm),Simon Harris
4585,,America The Beautiful,US Coast Guard Band
4586,2005.0,My Buddy,Alvino Rey And His Orchestra
4587,,Sunny Day,CoCo Lee
4588,,Karma Violins,Pale Forest
4589,,Lluvias De Cristal,Nestor Torres
4590,1966.0,Raha ratkaisee,Irwin Goodman
4591,1988.0,Standing In The Shower... Thinking ( LP Version ),Jane's Addiction
4592,,Song,Mystic Revelation of Rastafari
4593,,13 De Mayo,Isabel Pantoja
4594,2010.0,Dead Wrong,Cancer Bats
4595,1993.0,All I Want,Captain Hollywood Project
4596,,I Never Picked Cotton,Roy Rogers
4597,,I See God,Johnny Nash
4598,,Strange meeting,Ismael Dueñas
4599,,Je N'ai Plus Rien A Te Donner,Marc Lavoine
4600,,Comfortable,John Mayer
4601,1953.0,Hound Dog,Big Mama Thornton with Kansas Bill and his Orchestra
4602,,Worried Mind,Roy Drusky
4603,1973.0,Love Me,Jeanne Pruett
4604,2003.0,Stuck In A Moment You can't Get Out Of,Mariano Yanani
4605,,Up Among The Heather,The Irish Rovers
4606,,Have fi pray,Wilks featuring jah mason
4607,,Vera Begs Dylan,Angelo Badalamenti
4608,1983.0,Losers,J.J. Cale
4609,,Games People Play,Bert Kaempfert And His Orchestra
4610,2006.0,The True Beast,All Shall Persih
4611,,Warung Beach,John Digweed
4612,,Answer The Call (Powerhouse Album Version),White Heart
4613,,Wonderful One,Vanessa Bell Armstrong
4614,,Fly Away From Here (Graduation Day) (Album Version),Dropline
4615,,A Bundle Of Dreams,Tommy Sands
4616,,Don't Ever (Album Version),Missy Higgins
4617,2003.0,Amoria,Hi-Fi Companions
4618,2004.0,Aattelepa ite,Jope Ruonansuu
4619,1934.0,34 Blues,Charlie Patton
4620,,De la mano de un chulo,Mr. Kilombo
4621,1991.0,Laziest Gal In Town,Marlene Dietrich
4622,1977.0,Tu Me Desesperas,Adalberto Santiago
4623,,Lombrigas e os vermes,Eddie
4624,1993.0,Manuel Santillán_ El León (Versión Reggae),Los Fabulosos Cadillacs
4625,2006.0,Don't Matter,Akon
4626,,Valentine's Day,V Sinizter
4627,2007.0,Bad Woman,Richard Hawley And Death Ramps_ Arctic Monkeys
4628,2006.0,part 2 - Winterlight,Stephan Micus
4629,1969.0,Be Careful With A Fool,Johnny Winter
4630,,Mélusine,Jean-Claude Darnal
4631,,The Plan (The Plan Album Version),Raze
4632,,It Seems Like A Dream,Yank Rachell
4633,,Break,Orbit
4634,,Posledny Buntar`,Kruger
4635,,Gently (Album Version),Slipknot
4636,,Monk In Wonderland (2008 Digital Remaster) (Rudy Van Gelder Edition),Grachan Moncur III
4637,2005.0,Nature Boy,Rick Astley
4638,,End Title/Animal Crackers,The Marx Brothers
4639,,Alligator Blues,Sylvester Weaver
4640,,Two Sweety People,Line Renaud - Dean Martin
4641,1999.0,I Don't Know You People,Orbital
4642,2007.0,Song For A Friend (Live From Montalvo),Jason Mraz
4643,,Organic Echo (Part II),Lester Bowie
4644,1984.0,No Hace Falta Que Lo Digas,Alejandro Lerner
4645,2007.0,Guardians Of The Forest,Wolfchant
4646,,Ayer,La 5A Estacion
4647,1999.0,I Won't Spend Another Night Alone,The Ataris
4648,1994.0,Don't Sit Under The Apple Tree,Barry Manilow Featuring The Glenn Miller Orchestra with Debra Byrd
4649,,Les Scieurs De Long,Jacques Douai
4650,,How Great Thou Art,Ronnie Milsap
4651,,Fruits & Nuts,Marc Shaiman
4652,,Mes Belles Amourettes,Jacques Douai
4653,,Bass To Bass,DJ Slugo
4654,,All Or Nothing,SKOLD vs. KMFDM
4655,,Dubbaq,Legion Of Green Men
4656,,Out Of My Mind,Glen Ricks
4657,1971.0,Stay With Me,Faces
4658,1999.0,And Still I Wither,Enslavement Of Beauty
4659,2009.0,Crazy,Aynsley Lister
4660,,The Bad And The Beautiful,David Raksin
4661,2007.0,Desde el este,Facto Delafe y las flores azules
4662,,Finish the Job,Al Toomer
4663,,"The Marquis and the Scaffold (From ""Quills"")",Nick Ingman
4664,,Hiroshima,Utopia
4665,,Ms. Marseilles,John Brown
4666,2002.0,Let Me Show You The Way (Out),Toni Braxton
4667,,If I Miss You Again Tonight,Tommy Overstreet
4668,,I Love U,Chris Brown
4669,2002.0,Nuoruusmuistoja,Erkki Junkkarinen
4670,1991.0,After Lovin You (Love Life Album Version),Charlie Peacock
4671,2009.0,Beef,Capone-N-Noreaga
4672,,Find The Office,Patric C
4673,2006.0,Quasar,Kitaro
4674,,Swing,Jean-michel Rotin
4675,1988.0,"Wrote For Luck (12"" - Remastered version)",Happy Mondays
4676,2000.0,Ahmea,Flutlicht
4677,,Le Bagad De Lann Bihoue,Alain Souchon
4678,,Street Sh***,Mil featuring Memphis Bleek
4679,,Dance To The Music Of The World - Original Re-Mix (Practice Session),Prince With 94 East
4680,,Hot Rod,Fiasko
4681,,Coke (Live),Flickerstick
4682,,Drown In My Own Tears (LP Version),Bobby Darin
4683,,Fan Into Flame,John Michael Talbot
4684,,Druzya,Malina
4685,2007.0,Ability To Create A War,A Skylit Drive
4686,2003.0,Pants_ Meet Shit,Daughters
4687,2000.0,McHattie's Waltz,The Waybacks
4688,,Ça S'est Passé Un Dimanche,Maurice Chevalier
4689,,Going Strong (Album Version),Dropkick Murphys
4690,,Heavy Heart (Album Version),Josie
4691,2006.0,Dendemänner braucht das Land,Dendemann
4692,2001.0,Un P'Tit Brin De Musette,André Verchuren
4693,1997.0,And I Hear You Call,Amorphis
4694,,Somewhere In Time,Dave Alvin
4695,2008.0,Single Ladies (Put A Ring On It),Beyoncé
4696,1996.0,Ninja Mental,Illya Kuryaki And The Valderramas
4697,2002.0,Tony Yayo Explosion,G Unit feat. 50 Cent
4698,1988.0,Ain't Got Nothin' But The Blues (Album Version),Robben Ford
4699,,Soaked In Cinnamon,Ultimate Fakebook
4700,1988.0,Make It Funky (Album Version),Information Society
4701,2006.0,Now And Forever,Call To Preserve
4702,1996.0,I Could Be Dreaming,Belle and Sebastian
4703,1994.0,Slap U Around,GWAR
4704,1999.0,La Mamá De Jimmy,León Gieco
4705,,Like A Freza,Little Capes
4706,,Lets Go Amigos - Tail,Johnny Pearson
4707,,Bourrée des Monts d'Aubrac,Jean Segurel
4708,,Guardian Angel,Broadcast
4709,,My Heart Is Booked,Pinchers
4710,,Skank and Dub,Junior Reid
4711,,ABCD Medley,Laurie Berkner
4712,2005.0,It Won't Be Long Now,Frank Stokes
4713,2005.0,Another Love Song,Warrior King
4714,,Good Times Have Done Me Wrong (live) - exclusive version,Simply Red
4715,,Me Dicen El Feliz,Orquesta Sublime
4716,,Pu**y Pop,Xzibit featuring Jayo Felony and Method Man
4717,2009.0,Cabiria,Hot Club Of Cowtown
4718,,Un Espacio Para Andar (2002 Digital Remaster),Aleks Syntek
4719,2009.0,Plus chère la vie,Les Malpolis
4720,,We Got You (Featuring Jaguar),The Roots / Jaguar
4721,2005.0,Entanglement,John Ottman
4722,2009.0,Alla Fine Di Tutto Questo,Fabri Fibra
4723,,Sounds Of The City,DJ Nasty
4724,,Orchard,Moss
4725,,The Impala Incident (The Fifth Annual End Of The World Tour),Christoper Titus
4726,2008.0,Frei zu sein,In Extremo
4727,,Finally,The Incurables
4728,2008.0,Now I'm All Over The Place_ Scoob (Album Version),Frank Caliendo
4729,,Left Behind,The Steeles
4730,2005.0,Signapur,In Extremo
4731,,History Of Jody,Guitar Shorty
4732,2007.0,Juneau [Live],Funeral For A Friend
4733,2001.0,Posterchild for Tragedy,Sugarbomb
4734,1994.0,Wildflowers (Album Version),Tom Petty
4735,,Come All Over Me,Groove Karma
4736,,Handel: Alcina: Tornami a vagheggiar,Joan Sutherland
4737,1993.0,Matter Of Fact,Love Jones
4738,1976.0,Head For Backstage Pass,Jeff Beck
4739,1999.0,Santa Claus Is Coming To Town,Skeeter Davis
4740,,He's A Rebel,Crystals
4741,2000.0,Everyday,Bebe Winans / Stephanie Mills
4742,2005.0,Let's Plan A Robbery,Three 6 Mafia
4743,1992.0,Plastic Dreams,Jaydee
4744,1999.0,Carol,Flamin' Groovies
4745,,Boyfriends,Vickie Winans
4746,2004.0,Taste You,Auf Der Maur
4747,,Treat Me Right (Jon Cutler Album Version),Kim English
4748,1998.0,Come To Me Tonight,Daniel Johnston
4749,,Todo A Mi Favor,Juan Carlos Baglietto
4750,1996.0,Caught In The Rain,Martin Sexton
4751,,Dancehall Man,Thriller U
4752,1998.0,Tú,Shakira
4753,,Country Preacher,Jimmy Johnson
4754,1999.0,Chant For Eschaton 2000,Behemoth
4755,2006.0,Deliverance,Sick Puppies
4756,1976.0,Better Be Good,The Real Kids
4757,,Good Question  (LP Version),Lee Ritenour
4758,1992.0,Bing,The Jason Bonham Band
4759,1999.0,Morning,Poncho Sanchez / Dianne Reeves
4760,,Walk in the Park,Audio Pyper
4761,,Only If You Live There,Oliver Lake Quintet
4762,,Waterfall (Spirit Of The Rainforest Album Version),David Arkenstone
4763,,Operation Love,Mark Ashley
4764,,Stereophonic Presentation - Kokoro_ Pt. 5,Roger Reynolds
4765,,Dumy Moi-Zamicy Dal Nie...,Alkonost
4766,,Need Not,A Ghost Devotion
4767,,A Galicia Vente Xa,Xose Manuel Budiño
4768,2007.0,Always,RyanDan
4769,,Track 04,Pelt
4770,2007.0,No Mercy Remix (Cade Money Remix),The Last Eighth feat. Dumi Right(Zimbabwe Legit) and Skillz
4771,2007.0,Bad Creation,Vivian
4772,1995.0,A Whiter Shade Of Pale,Annie Lennox
4773,2003.0,All Of This,Blink-182
4774,2002.0,Chanson sous la pluie,Michèle Bernard
4775,,Like a Bird Pulling Up At a Worm,We Show Up On Radar
4776,,Buried Alive In The Blues,Michael Bloomfield
4777,,I Can't Help,Cocoa Tea
4778,,East,The Rongetz Foundation
4779,2006.0,Ring The Alarm,Beyoncé
4780,,Wanna Hurt Mase? (Album Version),Mase
4781,1997.0,Seek 300,Information Society
4782,,Thank You Mr. Poobah ( Remastered 97' Version ),The Paul Butterfield Blues Band
4783,,Going Home (Acoustic),Catherine Howe
4784,1988.0,Alte Pizza,Der Plan
4785,,Everything Has Changed,Patric C
4786,,Goin' Upstairs (Little Freddie King),Little Freddie King
4787,2001.0,Fast-Track,Radiohead
4788,2007.0,The Chosen Legacy,Dimmu Borgir
4789,,Show Of Love,Jimmy Riley
4790,,Song From Moulin Rouge,Percy Faith & His Orchestra
4791,2009.0,Drifting,David Arkenstone
4792,2006.0,The Ghost At #1,Jellyfish
4793,,Blues 666,Fuzz
4794,,Amidar (CCCP Mix),Rui Da Silva
4795,1997.0,Donde Estas Corazon,Shakira
4796,,Down A Notch,Faking David
4797,,Balada De La Mariposa,María Elena Walsh
4798,2008.0,Unutmam,BassTurk
4799,,You Were Only Fooling,Connie Francis
4800,2004.0,Hope  (Edited Album Version),Twista Featuring Cee-Lo
4801,1974.0,Lonesome To The Bone,Johnny Cash
4802,2006.0,Soul Music (ReMastered),Curtis Mayfield
4803,,The Avenue (Zack W. Remix),K-OS
4804,,I've Come This Far by Faith,The Mighty Clouds Of Joy
4805,1982.0,Bruttosozialprodukt,Geier Sturzflug
4806,,Turu wilakuy,Alturas
4807,2008.0,The Tube,Spectra Soul
4808,,Si Xin De Li You,F.I.R.
4809,,Grønn Dame_ Rød Klut (Sangen Om Boken Om Damen Anne Enger Lahnstein),Black Debbath
4810,2008.0,I'm Running Out Of Love,Dolly Parton
4811,1994.0,The House Is Rockin',Stevie Ray Vaughan And Double Trouble
4812,,Medley: Bobby Stenhouse; Braes Of Gleniffer; Girl In A Blue Dress,The Glencastle Sound
4813,,The Room,Bruce Carroll
4814,,Magic Carpet Ride - Original,Glen Ricks
4815,,Can't Take My Eyes Off You,Muse
4816,,Mo Jing,CoCo Lee
4817,,Love,YZ
4818,,Crystal Clear,Brainchoke
4819,2002.0,China Doll,Slim Whitman
4820,1997.0,Dancing Drums,Badmarsh & Shri
4821,,Show Fifteen with Bernard Sampson & Robert Sewell,Groucho Marx
4822,,Colour My XTC,Jeff Scott Soto
4823,2009.0,The Other Side,Super700
4824,2006.0,Yo Odeconer,Kékélé
4825,1999.0,Voici Les Clés,Gerard Lenorman
4826,,Kassoule,Tabu Ley Rochereau
4827,2002.0,Aziatic (Outro),AZ
4828,1982.0,Inoculated City,The Clash
4829,1992.0,Make This Love Last,Wendy Moten
4830,2001.0,Problem Inna the System,Black History
4831,,Le complexe de Sisyphe,Melatonin
4832,,Honor The Lord (He Holds The Keys Album Version),Steve Green
4833,,The Grand Vizier's Garden Party (Entrance) (1994 Digital Remaster),Pink Floyd
4834,1995.0,Babylon,Judas Iscariot
4835,1998.0,Dicen Por Ahi,Enrique Iglesias
4836,,Enclosed_ One Broken Heart,Eddy Arnold
4837,,Jalousie,André Verchuren
4838,,Turn Me On,Johnny Osbourne
4839,2005.0,Du Verstehst Mich Nicht,Andreas Dorau
4840,,100% Dundee,The Roots
4841,,Breezin' Along With the Breeze,The Merry Macs
4842,2002.0,Future Traffic Song,Ashtrax
4843,,I Don't Give a F**k,D.O.W.N.
4844,2001.0,Mango Del Monte,Tito Rodriguez
4845,,The First The Last Eternity (Till The End) (feat. Summer) (GDC Mix),SNAP!
4846,,Feel Better,California Oranges
4847,,Den Me Agapas,Anna Vissi
4848,2002.0,Compromise,The Berzerker
4849,,The Queen's Treatment,Ada Jane
4850,1994.0,Tomara (I Wish),Flora Purim
4851,1995.0,Get Moose and Squirrel,Virgil Moorefield
4852,,Slab Ridaz (feat. Lucky Luciano & Filero),Ice_ Lucky Luciano_ Filero
4853,,Outskirts Of Life,GG Allin
4854,,A Broken Heart,Dallas Holm
4855,,Styles P Speaks (Interlude),Styles P
4856,,Certified Gangstas (featuring Jim Jones Camron & Bezell),The Game feat. Jim Jones Camron & Bezell
4857,,Sanctify Yourself (Extended Remix),Simple Minds
4858,,Hollow Eyes (Beat The System Album Version),Petra
4859,2008.0,When A Man Loves A Woman,Alexander O'Neal
4860,,Party Favours,Bionikworld
4861,,Sous les chataigniers,Jean Segurel
4862,1997.0,124,Photek
4863,,Gemini,Ashes to Ashes
4864,,Plans (Cover Version - Original by Grizzly Bear),Band Of Horses
4865,,Find us Faithful,Bill Murk
4866,1995.0,Are You Putting Me On The Shelf,Don & Juan
4867,1983.0,Hunter And The Hunted (Live),Simple Minds
4868,,Happy Beat,Edmundo Ros
4869,2010.0,Per Colpa Tua,Noemi
4870,,Hur hur murmioon,Frederik
4871,1992.0,100%,Cocoa Tea
4872,,Down In The Hole,James Taylor
4873,,La Llamada,Selena
4874,1998.0,Dream Of Ice,Dave Eggar
4875,2008.0,REALIZATION: REMORSE,This Is Hell
4876,,Visitor,Donna The Buffalo
4877,1996.0,Soul Simplicity,Soulwax
4878,2006.0,Put It Off Until Tomorrow,Mae West
4879,,Groundhog Day f/Cee-Lo Green & DJ Craze,Mayday
4880,1993.0,Livin' On The Edge,Aerosmith
4881,,Come Around (Acoustic),Sister Hazel
4882,,El Sabor lo Pongo Yo,David Andreu
4883,1996.0,Mary Had A Little Boy (Maestro Mix),SNAP!
4884,1978.0,Onni,Irwin Goodman
4885,2001.0,1000 Good Intentions,Rise Against
4886,2006.0,Jaan - Interlude,Rishi Rich
4887,2000.0,Zanzibar,Lizzy Borden
4888,1995.0,All The Things You Are,Eliane Elias
4889,1998.0,I Surrender All,Clay Crosse
4890,,I'm Wondering,Mikey General
4891,2008.0,Starlight,Snowgoons
4892,2005.0,White Light,Gorillaz
4893,2009.0,Gedroomd,Hef feat. Big2 & Dio
4894,2008.0,Everything I Need,All Girl Summer Fun Band
4895,,Cuore Appassionato,Sergio Franchi
4896,1999.0,Cancion De Amor,2 Minutos
4897,,Last Thursday (Call Me Crazy),Carolyn Arends
4898,2003.0,Between Love & Hate,The Strokes
4899,1997.0,Dungeon Master,EPMD / Nocturnal
4900,,Blue Cave,Steve Smith
4901,1979.0,Walking Through the Ghetto,Sugar Minott
4902,1969.0,Laquelle Des Deux Est La Plus Snob,Jacques Dutronc
4903,,Estas Listo,Juan Carlos Baglietto
4904,,Endeka Para,Natassa Theodoridou
4905,1996.0,Near My Soul,The Sonics
4906,1997.0,Something 'Bout Love,Lisa Lisa & Cult Jam
4907,,Sangha the Outcast,Nick Ingman
4908,2004.0,My Prerogative,Britney Spears
4909,,Ol' Mother Earth (Album Version),Tony Joe White
4910,,Bass Fanactiks,DJ Phiene
4911,,All Your Love [Live 1999],Gary Moore
4912,,Stereo + Video,D:Fuse vs The Scumfrog
4913,,Bazooka,Pat Travers
4914,2004.0,Black Night,Halfway to Gone
4915,,Geh,Kuba
4916,1989.0,Cry Like An Angel,Shawn Colvin
4917,,Waiting For A Train [Live],John Sebastian
4918,,Menssa,Loketo
4919,2009.0,Carrie's Theme,John Frizzell
4920,1997.0,Oi! Oi! Oi!,Cockney Rejects
4921,1990.0,Miina ja Mikko markkinoilla,Esa Pakarinen
4922,,I've Been Cryin' Since You've Been Gone,New Roanoke Jug Band
4923,2003.0,Saturday Night's Alright (For Fighting),Nickelback featuring Kid Rock
4924,1994.0,The One Piece Puzzle,SKYCLAD
4925,2002.0,Mai,Loudermilk
4926,1976.0,What I've Got In Mind,Billie Jo Spears
4927,,Soul Etouffe,Jazz Crusaders
4928,,Never-ending,Esion Jim
4929,,How Long,Joe Grushecky
4930,,Cancion De Cuna_ Op. 49_ No. 4 (Brahms),Mariano Yanani
4931,,Dubrovnic,Les Ogres De Barback
4932,,Out In The Street,UFO
4933,1987.0,Haunted House,Gene Simmons
4934,,A Disconsolate Winter Landscape,Crematorium
4935,,Galopera,Los Fabulosos
4936,2008.0,Tennessee Blues (Album Version),Geoff Muldaur
4937,,Niggas Die 4 Me,Drag-On / DMX
4938,,Diamond In The Bluff,Memphis Sheiks
4939,1960.0,Release Me,Don Gibson
4940,2010.0,Nature's Disappearing,John Mayall & The Bluesbreakers
4941,2008.0,These Days,Take It Back!
4942,,Mambo Italiano,Tony Murena
4943,2009.0,When I Grow Up,Fever Ray
4944,1998.0,Silent Night,Philip Bailey
4945,2003.0,Spain,Neviss
4946,,I.Y.A.,Chris Brown
4947,2008.0,Lost In The Future,Sneaky Sound System
4948,2000.0,The Loco Motion,Little Eva
4949,,I Love You Baby,Thrilla U
4950,1995.0,Da Funk,Daft Punk
4951,,What If I Kissed You Right Now?,Joi
4952,,Transmission - [The Factory_ Manchester Live 11 April 1980],Joy Division
4953,1988.0,Raise Your Hand,Janis Joplin
4954,,Icicle Rain,Claire Hamill
4955,1994.0,Ill Always Love You,The Tokens
4956,,Great Escape (Good Intentions),Bob Neuwirth
4957,2005.0,The Strongest Wind That Blows,Shriekback
4958,,Main Title/Animal Crackers,The Marx Brothers
4959,,Non-Stop Floater,Marcelo Radulovich
4960,,Ki An O Ageras Fisa,Nikos Xilouris
4961,2009.0,Nie mehr heim,Kapelle Herrenweide
4962,1997.0,House of Love,Steel Pulse
4963,1967.0,People Make The World,The Box Tops
4964,,Noites Cariocas (Minhas Noites Sem Sono),Gal Costa
4965,,I Loves You Porgy,Percy Faith
4966,2010.0,Descontrol,Daddy Yankee
4967,,Jenny Jenny,The Shirrows
4968,2001.0,Genesis,Busta Rhymes
4969,,Twelve Gates To The City,John Cephas & Phil Wiggins
4970,,Con La Tinta De Mi Sangre,Mazz
4971,1999.0,You Gotta Move,Mississippi Fred McDowell
4972,1994.0,How Old Are You,Loudon Wainwright III
4973,2009.0,Engine Skull,Cancer Bats
4974,1998.0,We Will Stand,Russ Taff
4975,,Indian Queen,Electric Light Orchestra
4976,2003.0,Easy or Not (Album Version),To My Surprise
4977,,Hillcrest Drive,The Del McCoury Band
4978,,Casava Piece Riddim,Sly Dunbar
4979,1997.0,Easy Life (Live),Cockney Rejects
4980,1981.0,Principe Nino - Original,Orquesta Broadway
4981,,Life Upon The Wicked Stage,Sophie Tucker
4982,,Salsa pa tí,Perrocker
4983,,Lagrima,Terry Muska
4984,,Sick 2 Think,Why?
4985,,Mansion in the Sky,Florida Boys
4986,,Going Out Tonight,HardNox
4987,,Studio Dialogue (#26),The Stooges
4988,2002.0,Allez_ Glissez!,Quadro Nuevo
4989,2010.0,Touch The Sky,Kanye West / Lupe Fiasco
4990,,Don't Bogart,Headhunter
4991,,Oh The Joy That Came To Me,Sister Rosetta Tharpe
4992,,Love and happiness,Billy Price_ Fred Chapellier
4993,,Don't Start Me Cryin' Now,DMZ
4994,,Concerto For Saxophone (Quartet Version): Movement IV,Philip Glass
4995,2007.0,Come Alive,Agnostic Front
4996,1997.0,Trying To Get To Heaven,Bob Dylan
4997,2001.0,Misty Valley,Frank Chacksfield & His Orchestra
4998,,Sehnsuchtsexpress,Frl.Menke
4999,,Do Your Will (Album Version),The Rance Allen Group
5000,,Heyya Heyya,Ramy Ayach
5001,2003.0,Spitting Games,Snow Patrol
5002,,System of Play,Theodor Zox
5003,2009.0,So hell mit Klause Duo,Flowin Immo et Les Freaqz
5004,,Oh What A Feeling,Everly Brothers
5005,2006.0,Drones,Rise Against
5006,,Check the bomb,Refractory
5007,2001.0,Llama y Verás,Luis Alberto Spinetta
5008,,Elle Et Moi,Koffi Olomide
5009,,Xiang Zai Le Huo,Eason Chan
5010,2008.0,Wot U Say,Various Production
5011,2004.0,Chatterbox,Sex Pistols
5012,1999.0,Never Alone,Open Hand
5013,1963.0,It's My Party,Lesley Gore
5014,,For Me This Is Happy,Gene Pitney
5015,1999.0,Keep The Circle Around,Inspiral Carpets
5016,1983.0,Sporco Ma Distinto,Ennio Morricone
5017,,What'll I Do For Satisfaction (LP Version),Johnny Daye
5018,2003.0,Birth Of The Falls,Stephen Warbeck
